50mtorr70W
Integration time [ms]: 200,000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1004020U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 743,51;   -3,080;    0,000;    0,000
 743,57;    0,590;    0,000;    0,000
 743,63; -111,790;    0,000;    0,000
 743,70;  -57,640;    0,000;    0,000
 743,76;  -66,190;    0,000;    0,000
 743,83;   24,370;    0,000;    0,000
 743,89;  -75,350;    0,000;    0,000
 743,95;  -11,600;    0,000;    0,000
 744,02;   46,670;    0,000;    0,000
 744,08;  -63,710;    0,000;    0,000
 744,14; -116,700;    0,000;    0,000
 744,21;   36,350;    0,000;    0,000
 744,27;   22,060;    0,000;    0,000
 744,33;  143,060;    0,000;    0,000
 744,40;  -70,400;    0,000;    0,000
 744,46;  -19,900;    0,000;    0,000
 744,53; -123,710;    0,000;    0,000
 744,59;  -73,020;    0,000;    0,000
 744,65; -117,220;    0,000;    0,000
 744,72;  -69,260;    0,000;    0,000
 744,78;    2,850;    0,000;    0,000
 744,84; -105,620;    0,000;    0,000
 744,91;  -42,780;    0,000;    0,000
 744,97;  -77,940;    0,000;    0,000
 745,03;  -26,350;    0,000;    0,000
 745,10;    6,810;    0,000;    0,000
 745,16; -129,470;    0,000;    0,000
 745,22;  -49,250;    0,000;    0,000
 745,29; -115,120;    0,000;    0,000
 745,35; -158,180;    0,000;    0,000
 745,42;  -53,590;    0,000;    0,000
 745,48; -115,270;    0,000;    0,000
 745,54;    2,370;    0,000;    0,000
 745,61;  -57,410;    0,000;    0,000
 745,67;  -27,800;    0,000;    0,000
 745,73;  -32,330;    0,000;    0,000
 745,80;   47,360;    0,000;    0,000
 745,86; -118,010;    0,000;    0,000
 745,92;  -75,480;    0,000;    0,000
 745,99;  -54,410;    0,000;    0,000
 746,05;  -45,710;    0,000;    0,000
 746,11;   -6,480;    0,000;    0,000
 746,18;   11,480;    0,000;    0,000
 746,24;    4,430;    0,000;    0,000
 746,30;   -4,450;    0,000;    0,000
 746,37;   28,120;    0,000;    0,000
 746,43;  -56,020;    0,000;    0,000
 746,49;  277,000;    0,000;    0,000
 746,56;  106,760;    0,000;    0,000
 746,62;  181,470;    0,000;    0,000
 746,68;  126,700;    0,000;    0,000
 746,75;   33,080;    0,000;    0,000
 746,81;   94,030;    0,000;    0,000
 746,87;  -38,400;    0,000;    0,000
 746,94; -126,800;    0,000;    0,000
 747,00;   -9,670;    0,000;    0,000
 747,06;   53,860;    0,000;    0,000
 747,13;  -78,470;    0,000;    0,000
 747,19; -124,620;    0,000;    0,000
 747,25;   47,280;    0,000;    0,000
 747,32;   -1,520;    0,000;    0,000
 747,38;    2,580;    0,000;    0,000
 747,44;  -35,570;    0,000;    0,000
 747,51;   57,210;    0,000;    0,000
 747,57;  -93,700;    0,000;    0,000
 747,63;  -48,090;    0,000;    0,000
 747,70; -127,080;    0,000;    0,000
 747,76;   40,430;    0,000;    0,000
 747,82;  -91,380;    0,000;    0,000
 747,89;  -88,820;    0,000;    0,000
 747,95;  -31,850;    0,000;    0,000
 748,01;  -10,660;    0,000;    0,000
 748,08;   54,330;    0,000;    0,000
 748,14;  -80,390;    0,000;    0,000
 748,20;   -6,210;    0,000;    0,000
 748,27;   80,650;    0,000;    0,000
 748,33;  -17,430;    0,000;    0,000
 748,39;   11,290;    0,000;    0,000
 748,46; -103,410;    0,000;    0,000
 748,52;  -68,960;    0,000;    0,000
 748,58;    5,540;    0,000;    0,000
 748,65;  -98,510;    0,000;    0,000
 748,71;  -45,780;    0,000;    0,000
 748,77;   33,730;    0,000;    0,000
 748,83;  -24,720;    0,000;    0,000
 748,90;  -70,900;    0,000;    0,000
 748,96; -112,390;    0,000;    0,000
 749,02;   29,570;    0,000;    0,000
 749,09;  -44,060;    0,000;    0,000
 749,15;   26,060;    0,000;    0,000
 749,21;   29,380;    0,000;    0,000
 749,28;  413,210;    0,000;    0,000
 749,34; 1230,890;    0,000;    0,000
 749,40; 2405,670;    0,000;    0,000
 749,47; 1131,480;    0,000;    0,000
 749,53;  138,770;    0,000;    0,000
 749,59;  -11,400;    0,000;    0,000
 749,66;   40,750;    0,000;    0,000
 749,72;  -82,070;    0,000;    0,000
 749,78;   86,650;    0,000;    0,000
 749,84;  -95,790;    0,000;    0,000
 749,91;  -68,120;    0,000;    0,000
 749,97;  -52,780;    0,000;    0,000
 750,03;   -8,390;    0,000;    0,000
 750,10;  -58,110;    0,000;    0,000
 750,16;  -34,660;    0,000;    0,000
 750,22; -121,580;    0,000;    0,000
 750,29;   85,670;    0,000;    0,000
 750,35;  109,590;    0,000;    0,000
 750,41;  282,160;    0,000;    0,000
 750,47;  691,970;    0,000;    0,000
 750,54;  537,340;    0,000;    0,000
 750,60;  252,760;    0,000;    0,000
 750,66;  -32,300;    0,000;    0,000
 750,73;   17,440;    0,000;    0,000
 750,79;  -18,360;    0,000;    0,000
 750,85;  -52,160;    0,000;    0,000
 750,92;   49,970;    0,000;    0,000
 750,98;  -95,740;    0,000;    0,000
 751,04;   30,140;    0,000;    0,000
 751,10;  -32,230;    0,000;    0,000
 751,17;   -3,020;    0,000;    0,000
 751,23;  -81,690;    0,000;    0,000
 751,29;   44,920;    0,000;    0,000
 751,36;  -77,640;    0,000;    0,000
 751,42; -104,630;    0,000;    0,000
 751,48;  -43,620;    0,000;    0,000
 751,54;   83,170;    0,000;    0,000
 751,61; -115,800;    0,000;    0,000
 751,67;  -52,130;    0,000;    0,000
 751,73;  -97,780;    0,000;    0,000
 751,80;  -38,630;    0,000;    0,000
 751,86;   32,270;    0,000;    0,000
 751,92;   -1,240;    0,000;    0,000
 751,98;   -5,850;    0,000;    0,000
 752,05;  -52,580;    0,000;    0,000
 752,11;  -18,530;    0,000;    0,000
 752,17;   29,850;    0,000;    0,000
 752,24;  -21,930;    0,000;    0,000
 752,30;   93,780;    0,000;    0,000
 752,36;  -16,310;    0,000;    0,000
 752,42;  -30,570;    0,000;    0,000
 752,49; -100,170;    0,000;    0,000
 752,55;  -40,450;    0,000;    0,000
 752,61;  -25,580;    0,000;    0,000
 752,68;   17,720;    0,000;    0,000
 752,74;  -24,830;    0,000;    0,000
 752,80;  -50,150;    0,000;    0,000
 752,86; -109,130;    0,000;    0,000
 752,93;  -65,600;    0,000;    0,000
 752,99;  -99,400;    0,000;    0,000
 753,05;  -95,980;    0,000;    0,000
 753,11;  -18,120;    0,000;    0,000
 753,18;   30,940;    0,000;    0,000
 753,24;  -25,610;    0,000;    0,000
 753,30;   13,250;    0,000;    0,000
 753,37;  -54,870;    0,000;    0,000
 753,43;  -57,120;    0,000;    0,000
 753,49;  -15,140;    0,000;    0,000
 753,55;   66,450;    0,000;    0,000
 753,62;  102,140;    0,000;    0,000
 753,68;  -56,440;    0,000;    0,000
 753,74;  -85,710;    0,000;    0,000
 753,80;  -32,350;    0,000;    0,000
 753,87;  -75,480;    0,000;    0,000
 753,93;  -27,650;    0,000;    0,000
 753,99;  -78,940;    0,000;    0,000
 754,05;  -72,220;    0,000;    0,000
 754,12;   42,110;    0,000;    0,000
 754,18;  -59,640;    0,000;    0,000
 754,24;  -89,440;    0,000;    0,000
 754,30;  -91,480;    0,000;    0,000
 754,37;  -11,480;    0,000;    0,000
 754,43;   15,080;    0,000;    0,000
 754,49;  -48,910;    0,000;    0,000
 754,55;  -92,370;    0,000;    0,000
 754,62;    2,640;    0,000;    0,000
 754,68;   -9,320;    0,000;    0,000
